Compound;CNS positivity; MW (g/mol);Freely Rotable Bonds (ACD);PSA (ACD);HBD (ACD);HBA (ACD);logP (ACD);logD (pH7.4) (ACD);HPLC logP-HBA (ACD);HBA+HBD (ACD);logP-HBA (ACD);logD (pH 7.4)-HBA (ACD);HPLC logP(pH 7.4) ;IAM Km (linear);IAM Pm (linear);HSA;LogK;tPSA;logP;ClogP;pKa (prediction);3D PSA;CNS MPO score;BBB score;CNS MPO PET score
Rolipram;positive;275.34;4;48;1;4;1.43;1.72;-2.31;5;-2.57;-2.28;1.69;19.42;0.07;64.09;0.24;47.56;1.89;1.72;1.19;96.9;5.75;5.11;6
Rofecoxib;negative;314.36;3;69;0;4;1.34;2.07;-1.26;4;-2.66;-1.93;2.74;18.64;0.06;69.33;0.34;60.44;1.83;1.8;;139.2;5.72;5.1;
NNC112;positive;327.8;1;37;1;3;4.28;3.41;;4;1.28;0.41;;;;;;36.61;3.6;4.58;8.18;51.2;4.6;5.09;2.4
Setoperone;positive;401.5;5;78;0;5;2.59;1.93;-2.64;5;-2.41;-3.07;2.36;38.96;0.1;65.59;0.27;52.98;2.16;1.95;-0.34;65.9;5.58;5.06;4.8
Flumazenil;positive;303.29;3;64;0;6;0.67;1;-5.07;6;-5.33;-5;0.93;6.71;0.02;32.89;-0.32;64.44;1.11;1.29;0.12;82.1;6;5.05;6
Epidepride;positive;481.27;6;51;1;5;2.3;0.39;-2.27;6;-2.7;-4.61;2.73;109.27;0.23;63.04;0.31;50.8;2.91;3.46;-0.26;74.3;4.8;5.04;5
McN5652;positive;295.44;2;29;0;1;4.54;3.67;3.33;1;3.54;2.67;4.33;121.15;0.41;84.98;0.72;3.24;4.28;4.16;10.37;1.9;3.23;5.04;2
Fluoroethylflumazenil(FFMZ);positive;335.31;5;64;0;6;1.05;1.22;-5.07;6;-4.95;-4.78;0.93;5.67;0.02;26.59;-0.45;62.21;0.96;1.01;0.28;81.3;6;5.02;5.3
Physostigmine;positive;275.34;2;45;1;5;1.22;0.81;;6;-3.78;-4.19;;;;;;44.81;2.66;1.95;14.77;73.9;5.66;5.02;5
Fluoroethylspiperon(FESP);positive;441.51;8;44;0;5;3.08;1.72;-1.03;5;-1.92;-3.28;3.97;242.94;0.55;79.79;0.58;43.86;3.21;3.64;4.02;52.4;4.68;5.01;4.7
FluoromethylMcN5652;positive;313.43;3;29;0;1;4.38;3.47;3.35;1;3.38;2.47;4.35;101.48;0.32;89.16;0.88;3.24;4.49;4.33;10.34;12.8;3.3;5.01;1.8
FLB457;positive;371.27;6;51;1;5;2.39;0.58;-2.63;6;-2.61;-4.42;2.37;84.5;0.23;64.11;0.24;50.8;2.39;3.2;-0.26;74.2;5.13;5;5
beta-CIT;positive;385.24;3;30;0;3;3.4;1.13;-0.87;3;0.4;-1.87;2.13;103.88;0.27;70.2;0.36;29.54;3.69;3.94;9.46;34;4.35;5;2.5
18FE@suppy;negative;388.48;10;107.2;0;6;5.94;5.79;-1.88;6;-0.06;-0.21;4.12;;;;;56.76;5.84;6.11;3.96;57;3.8;4.98;3
WAY-100635;positive;422.56;7;49;0;6;2.66;3.07;-3.12;6;-3.34;-2.93;2.88;57.45;0.14;69.11;0.34;48.38;4.23;4.09;1.5;33.2;4.22;4.97;4
NNCprecursor;positive;313.77;1;45;2;3;3.19;1.6;;5;0.19;-5.77;;;;;;45.4;3.23;4.13;8.7;91.7;4.5;4.97;3.8
Carfentaniloxalat;positive;394.51;8;50;0;5;3.73;3.21;-1.71;5;-1.27;-1.79;3.29;141.25;0.29;70.95;0.37;49.85;3.2;3.73;7.75;36.1;4.84;4.96;3
2-FE-beta-CIT;positive;417.26;5;30;0;3;3.64;1.27;0.23;3;0.64;-1.73;3.23;109.21;0.26;74.92;0.46;29.54;3.88;4.33;9.38;30.9;4.06;4.96;2.4
CIT-FE;positive;417.26;5;30;0;3;3.74;2.58;1.18;3;0.74;-0.42;4.18;161.41;0.39;75.11;0.46;29.54;3.88;4.2;8.51;31.6;4.24;4.96;1.9
Nifene;positive;194.2;3;34;1;3;1.59;0;;4;-1.41;-3;;;;;;34.15;1.21;0.98;-1.1;56;5.46;4.95;5.1
Diltiazem;efflux;414.52;7;84;0;6;3.63;2.06;-3.11;6;-2.37;-3.94;2.89;86.4;0.21;69.08;0.34;59;2.64;3.65;8.18;96;5.52;4.95;3.6
6-meO-BTA-0;negative;256.32;2;76;2;3;3.42;2.84;1.25;5;0.42;-0.16;4.25;;;;;48.15;3.03;3.44;;94.2;4.85;4.95;
